city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country,continent
Lisbon,0,4.8,4.0,4.0,2082.0,26.0,5.0,32.0,5.0,3.0,3.0,1646.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,38.7077507,-9.1365919, Portugal,europe
Cape Town,1,4.6,4.0,4.0,1692.0,8.0,4.0,16.0,1.0,3.0,3.0,425.0,5.0,5.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,-33.928992,18.417396, South Africa,africa
Porto,2,4.5,4.0,4.0,1945.0,33.0,4.0,11.0,5.0,3.0,3.0,1646.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,41.1494512,-8.6107884, Portugal,europe
Madeira,3,4.5,4.0,4.0,2059.0,38.0,4.0,11.0,5.0,3.0,3.0,1646.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,32.751748750000004,-16.981752048847362, Portugal,europe
Las Palmas Canary Islands,4,4.5,4.0,4.0,2298.0,25.0,4.0,38.0,5.0,3.0,4.0,2225.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,27.9580004,-15.6062305376665, Spain,europe
Ericeira,5,4.5,4.0,4.0,2233.0,39.0,5.0,32.0,5.0,5.0,3.0,1646.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,38.97039795,-9.399580512067734, Portugal,europe
Canggu Bali,6,4.5,4.0,3.0,1112.0,18.0,4.0,32.0,5.0,4.0,3.0,298.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,-8.650618,115.1364993, Indonesia,asia
Miami FL,7,4.5,4.0,4.0,4631.0,39.0,5.0,33.0,4.0,4.0,4.0,4817.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,25.7741728,-80.19362, United States,north_america
Mexico City,8,4.5,4.0,3.0,1486.0,19.0,4.0,56.0,2.0,2.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,19.4326296,-99.1331785, Mexico,north_america
Ko Pha Ngan,9,4.4,4.0,3.0,1053.0,20.0,5.0,56.0,4.0,2.0,3.0,493.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,9.7349503,100.0305710845208, Thailand,asia
Berlin,11,4.4,4.0,4.0,3069.0,29.0,5.0,23.0,5.0,4.0,4.0,3538.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,52.5170365,13.3888599, Germany,europe
Istanbul,12,4.4,4.0,3.0,947.0,11.0,4.0,111.0,4.0,3.0,3.0,905.0,2.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,41.0096334,28.9651646, Turkey,asia
Puerto Escondido,13,4.4,4.0,3.0,1754.0,25.0,4.0,111.0,2.0,4.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,5.0,2.0,15.8693331,-97.0726428, Mexico,north_america
Singapore,14,4.3,4.0,4.0,2856.0,105.0,4.0,54.0,5.0,4.0,4.0,4401.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,3.0,1.357107,103.8194992, Singapore,asia
Playa del Carmen,15,4.2,4.0,3.0,1343.0,9.0,5.0,54.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,5.0,2.0,20.6308643,-87.0779503, Mexico,north_america
Prague,16,4.2,4.0,4.0,2195.0,38.0,5.0,56.0,5.0,2.0,4.0,1534.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,50.0874654,14.4212535, Czechia,europe
Austin TX,17,4.2,4.0,4.0,4402.0,68.0,5.0,38.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,30.2711286,-97.7436995, United States,north_america
Taipei,18,4.2,4.0,4.0,1972.0,20.0,3.0,85.0,5.0,4.0,4.0,2048.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,25.0375198,121.5636796, Taiwan,asia
Da Nang,19,4.2,4.0,3.0,1030.0,12.0,3.0,37.0,4.0,3.0,2.0,181.0,2.0,5.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,16.068,108.212, Vietnam,asia
Seattle WA,20,4.2,4.0,4.0,4111.0,115.0,3.0,19.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,47.6038321,-122.3300624, United States,north_america
Buenos Aires,21,4.1,4.0,4.0,722.0,27.0,4.0,24.0,3.0,4.0,4.0,1037.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,-34.6075682,-58.4370894, Argentina,south_america
Tenerife Canary Islands,22,4.1,4.0,4.0,3634.0,27.0,5.0,28.0,5.0,4.0,4.0,2225.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,28.2935785,-16.621447121144122, Spain,europe
Budapest,24,4.1,4.0,3.0,1482.0,40.0,4.0,35.0,4.0,2.0,4.0,1075.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,47.4979937,19.0403594, Hungary,europe
Bangkok,26,4.1,4.0,3.0,1350.0,32.0,4.0,55.0,4.0,2.0,3.0,493.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,13.7525438,100.4934734, Thailand,asia
Saint Petersburg,27,4.1,4.0,3.0,1595.0,15.0,4.0,55.0,2.0,3.0,4.0,721.0,3.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,59.938732,30.316229, Russia,europe
Tbilisi,28,4.1,4.0,3.0,1193.0,12.0,4.0,150.0,4.0,2.0,4.0,304.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,4.0,3.0,2.0,3.0,41.6934591,44.8014495, Georgia,asia
Moscow,29,4.1,4.0,3.0,1952.0,16.0,5.0,53.0,2.0,3.0,4.0,721.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,55.7504461,37.6174943, Russia,europe
Barcelona,30,4.1,4.0,4.0,3072.0,29.0,5.0,22.0,5.0,2.0,4.0,2225.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,41.3828939,2.1774322, Spain,europe
Phuket,31,4.1,4.0,3.0,1333.0,21.0,4.0,43.0,4.0,3.0,3.0,493.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,7.9366015,98.3529292, Thailand,asia
Toronto,32,4.1,4.0,4.0,3255.0,27.0,4.0,36.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,43.6534817,-79.3839347, Canada,north_america
Penang,33,4.1,4.0,3.0,1090.0,18.0,3.0,36.0,4.0,4.0,3.0,792.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,3.0,5.4065013,100.2559077, Malaysia,asia
Belgrade,34,4.1,4.0,3.0,1506.0,33.0,4.0,106.0,4.0,3.0,3.0,452.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,44.8178131,20.4568974, Serbia,europe
Warsaw,35,4.1,4.0,4.0,1756.0,29.0,5.0,56.0,5.0,2.0,4.0,1028.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0,52.2319581,21.0067249, Poland,europe
Oaxaca,36,4.0,4.0,3.0,1195.0,15.0,3.0,38.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,5.0,2.0,3.0,5.0,2.0,17.0,-96.5, Mexico,north_america
Tulum,37,4.0,3.0,3.0,2062.0,12.0,4.0,38.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,4.0,5.0,2.0,20.2152358,-87.42953531439221, Mexico,north_america
Florianopolis,38,4.0,4.0,3.0,1193.0,11.0,5.0,38.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,3.0,2.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,-27.5973002,-48.5496098, Brazil,south_america
Bengaluru,39,4.0,3.0,3.0,691.0,24.0,2.0,92.0,4.0,2.0,2.0,142.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,12.9767936,77.590082, India,asia
Atlanta GA,40,4.0,4.0,4.0,2992.0,37.0,4.0,37.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,33.7489924,-84.3902644, United States,north_america
Bucharest,41,4.0,4.0,3.0,1624.0,57.0,4.0,32.0,4.0,2.0,4.0,787.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,3.0,44.4361414,26.1027202, Romania,europe
Chiang Mai,42,4.0,4.0,3.0,1017.0,21.0,4.0,58.0,4.0,2.0,3.0,493.0,2.0,5.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,18.7882778,98.9858802, Thailand,asia
Sydney,43,4.0,4.0,4.0,3807.0,18.0,3.0,24.0,5.0,4.0,5.0,4506.0,5.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,-33.768528,150.9568559523945, Australia,oceania
London,44,4.0,4.0,4.0,4308.0,21.0,5.0,56.0,5.0,5.0,4.0,3354.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,51.5073219,-0.1276474, United Kingdom,europe
Timisoara,45,3.9,4.0,3.0,1456.0,37.0,4.0,25.0,4.0,2.0,4.0,787.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,45.7538355,21.2257474, Romania,europe
Zagreb,46,3.9,4.0,3.0,1839.0,18.0,3.0,16.0,5.0,2.0,4.0,1013.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,45.8131847,15.9771774, Croatia,europe
Stockholm,47,3.9,4.0,4.0,3673.0,37.0,4.0,9.0,4.0,4.0,4.0,4224.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,59.3251172,18.0710935, Sweden,europe
Sofia,48,3.9,4.0,3.0,1383.0,27.0,4.0,84.0,4.0,2.0,4.0,622.0,3.0,5.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,-15.2538402,48.2562163, Madagascar,africa
Denver CO,49,3.9,4.0,4.0,3562.0,60.0,3.0,30.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,3.0,39.7348381,-104.9653271, United States,north_america
Valencia,50,3.9,4.0,4.0,2505.0,33.0,4.0,50.0,5.0,3.0,4.0,2225.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,39.4697065,-0.3763353, Spain,europe
Honolulu Hawaii,52,3.9,4.0,4.0,4607.0,40.0,5.0,14.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,21.304547,-157.855676, United States,north_america
Melbourne,53,3.9,4.0,4.0,3195.0,23.0,5.0,25.0,5.0,4.0,5.0,4506.0,5.0,5.0,3.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,-37.8142176,144.9631608, Australia,oceania
Rio de Janeiro,54,3.9,4.0,3.0,1378.0,13.0,5.0,25.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,5.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,-22.9110137,-43.2093727, Brazil,south_america
Seoul,55,3.9,4.0,3.0,2268.0,23.0,4.0,75.0,5.0,2.0,4.0,2315.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,37.5666791,126.9782914, South Korea,asia
Madrid,56,3.9,4.0,4.0,2970.0,32.0,5.0,57.0,5.0,3.0,4.0,2225.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,40.4167047,-3.7035825, Spain,europe
Vancouver,57,3.9,4.0,4.0,3433.0,30.0,3.0,18.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,49.2608724,-123.113952, Canada,north_america
Guadalajara,58,3.9,4.0,3.0,1119.0,12.0,3.0,70.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,20.6720375,-103.338396, Mexico,north_america
Los Angeles CA,59,3.9,4.0,4.0,4550.0,56.0,5.0,56.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,34.0536909,-118.242766, United States,north_america
Ljubljana,60,3.8,4.0,4.0,2176.0,48.0,3.0,17.0,4.0,4.0,4.0,1793.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,46.0499803,14.5068602, Slovenia,europe
Amsterdam,61,3.8,4.0,4.0,4760.0,21.0,4.0,19.0,5.0,4.0,4.0,3813.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0,3.0,52.3727598,4.8936041, Netherlands,europe
Tallinn,62,3.8,4.0,4.0,2092.0,30.0,3.0,55.0,4.0,5.0,4.0,1482.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,59.4372155,24.7453688, Estonia,europe
Athens,63,3.8,4.0,4.0,2840.0,13.0,5.0,72.0,5.0,2.0,4.0,1436.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,37.9839412,23.7283052, Greece,europe
Cluj,64,3.8,4.0,3.0,1872.0,34.0,4.0,8.0,4.0,2.0,4.0,787.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,2.0,3.0,46.769379,23.5899542, Romania,europe
Munggu Bali,65,3.8,3.0,3.0,1513.0,14.0,3.0,8.0,5.0,4.0,3.0,298.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,-8.6212371,115.126168, Indonesia,asia
Vilnius,66,3.8,4.0,3.0,2071.0,25.0,5.0,52.0,3.0,4.0,4.0,1226.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,3.0,2.0,3.0,54.6870458,25.2829111, Lithuania,europe
Ko Samui,67,3.8,4.0,3.0,1303.0,17.0,3.0,52.0,4.0,3.0,3.0,493.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,9.50139445,99.99561927320003, Thailand,asia
Santiago,68,3.8,4.0,3.0,1365.0,14.0,2.0,27.0,4.0,4.0,4.0,1150.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,9.8694792,-83.7980749, Costa Rica,north_america
Auckland,69,3.8,4.0,4.0,3398.0,23.0,3.0,34.0,5.0,5.0,5.0,3353.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,-36.852095,174.7631803, New Zealand,oceania
Wellington,70,3.8,4.0,4.0,2746.0,27.0,3.0,28.0,5.0,5.0,5.0,3353.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,-41.2887953,174.7772114, New Zealand,oceania
Ubud Bali,71,3.8,4.0,3.0,1798.0,12.0,3.0,28.0,5.0,4.0,3.0,298.0,2.0,5.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,-8.5724004,115.2599496, Indonesia,asia
San Diego CA,72,3.8,4.0,4.0,4313.0,73.0,4.0,41.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,32.7174202,-117.1627728, United States,north_america
Chicago IL,73,3.8,4.0,4.0,3681.0,38.0,4.0,40.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,41.8755616,-87.6244212, United States,north_america
Brasov,74,3.8,3.0,3.0,1298.0,29.0,3.0,32.0,4.0,2.0,4.0,787.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,3.0,45.6523093,25.6102746, Romania,europe
Johannesburg,75,3.7,4.0,3.0,1631.0,12.0,3.0,65.0,1.0,3.0,3.0,425.0,5.0,5.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,5.0,3.0,-26.205,28.049722, South Africa,africa
Paris,76,3.7,4.0,4.0,4090.0,32.0,4.0,57.0,4.0,3.0,4.0,3069.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,48.8588897,2.3200410217200766, France,europe
Seminyak Bali,77,3.7,3.0,3.0,796.0,3.0,4.0,57.0,5.0,2.0,3.0,298.0,2.0,5.0,2.0,3.0,4.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,-8.680844,115.1604163, Indonesia,asia
Pittsburgh PA,78,3.7,4.0,4.0,2095.0,72.0,4.0,39.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,40.4416941,-79.9900861, United States,north_america
Munich,79,3.7,4.0,4.0,3793.0,28.0,5.0,19.0,5.0,4.0,4.0,3538.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,48.1371079,11.5753822, Germany,europe
Minsk,80,3.7,4.0,3.0,1017.0,19.0,3.0,19.0,4.0,4.0,4.0,417.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,53.9024716,27.5618225, Belarus,europe
Dallas TX,81,3.7,4.0,4.0,3094.0,47.0,4.0,27.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,32.7762719,-96.7968559, United States,north_america
Manila,82,3.7,3.0,3.0,1425.0,9.0,2.0,54.0,3.0,2.0,3.0,246.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,14.5907332,120.9809674, Philippines,asia
Quito,83,3.7,4.0,3.0,989.0,10.0,3.0,63.0,3.0,3.0,3.0,499.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,-0.2201641,-78.5123274, Ecuador,south_america
San Miguel de Allende,84,3.7,4.0,3.0,1371.0,17.0,3.0,31.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,2.0,3.0,5.0,2.0,20.9139025,-100.744012, Mexico,north_america
Gdansk,85,3.7,4.0,3.0,1623.0,26.0,4.0,32.0,5.0,2.0,4.0,1028.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,3.0,54.36119285,18.62860883362069, Poland,europe
Queretaro,86,3.7,4.0,3.0,859.0,11.0,4.0,32.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,2.0,3.0,5.0,3.0,5.0,2.0,3.0,5.0,2.0,20.5927744,-100.3902245, Mexico,north_america
Hyderabad,87,3.7,3.0,3.0,720.0,24.0,2.0,85.0,4.0,2.0,2.0,142.0,3.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,17.360589,78.4740613, India,asia
Willemstad,88,3.7,4.0,3.0,1913.0,15.0,5.0,36.0,4.0,3.0,2.0,1632.0,5.0,2.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,12.1066695,-68.9351307, Netherlands,europe
Bansko,89,3.7,4.0,3.0,1409.0,31.0,5.0,24.0,4.0,2.0,4.0,622.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,41.8344086,23.4841698, Bulgaria,europe
Hilo Hawaii,90,3.7,4.0,4.0,3653.0,43.0,4.0,23.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,19.7073734,-155.0815803, United States,north_america
Plovdiv,91,3.7,4.0,3.0,1416.0,31.0,3.0,29.0,4.0,2.0,4.0,622.0,3.0,5.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,42.1418541,24.7499297, Bulgaria,europe
Szczecin,92,3.7,3.0,3.0,1540.0,38.0,2.0,41.0,5.0,2.0,4.0,1028.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,3.0,53.4301818,14.5509623, Poland,europe
Porto Alegre,93,3.7,4.0,3.0,853.0,13.0,5.0,41.0,1.0,4.0,3.0,721.0,2.0,5.0,2.0,4.0,3.0,2.0,5.0,2.0,4.0,3.0,2.0,5.0,2.0,-30.0324999,-51.2303767, Brazil,south_america
Kuala Lumpur,94,3.7,4.0,3.0,1238.0,16.0,3.0,40.0,4.0,4.0,3.0,792.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,3.1516964,101.6942371, Malaysia,asia
Washington DC,95,3.7,4.0,4.0,4879.0,67.0,4.0,23.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,38.8950368,-77.0365427, United States,north_america
Braga,96,3.6,4.0,3.0,1602.0,29.0,3.0,82.0,5.0,3.0,3.0,1646.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,41.5510583,-8.4280045, Portugal,europe
Portland OR,97,3.6,4.0,4.0,3487.0,71.0,5.0,21.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,45.5202471,-122.6741949, United States,north_america
Odessa,98,3.6,3.0,3.0,1071.0,33.0,2.0,17.0,4.0,2.0,4.0,175.0,2.0,5.0,3.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,46.4873195,30.7392776, Ukraine,europe
El Gouna,99,3.6,4.0,3.0,2176.0,7.0,5.0,17.0,4.0,5.0,3.0,235.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,2.0,5.0,5.0,3.0,30.4275348,-9.293198, Morocco,africa
Queenstown,100,3.6,4.0,4.0,3518.0,30.0,4.0,17.0,5.0,3.0,5.0,3353.0,5.0,2.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,-45.0321923,168.661, New Zealand,oceania
Bratislava,101,3.6,4.0,3.0,1462.0,32.0,3.0,34.0,5.0,3.0,4.0,1374.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,5.0,4.0,2.0,3.0,48.1516988,17.1093063, Slovakia,europe
Davao,102,3.6,3.0,3.0,1102.0,8.0,4.0,71.0,3.0,2.0,3.0,246.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0,3.0,3.0,2.0,3.0,7.0645451,125.6084371, Philippines,asia
Lagos Algarve,103,3.3,3.0,2.0,1819.0,5.0,3.0,71.0,3.0,2.0,2.0,181.0,4.0,5.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,3.0,37.1027734,-8.6726941, Portugal,europe
Taghazout,104,3.6,3.0,3.0,1159.0,7.0,3.0,71.0,4.0,2.0,2.0,245.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,5.0,3.0,3.0,2.0,2.0,30.544722,-9.709128, Morocco,africa
San Francisco CA,105,3.6,4.0,4.0,6091.0,68.0,2.0,32.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,37.7790262,-122.419906, United States,north_america
Riga,106,3.6,4.0,3.0,1981.0,20.0,3.0,97.0,4.0,4.0,4.0,1166.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,56.9493977,24.1051846, Latvia,europe
Ho Chi Minh City,107,3.6,4.0,3.0,964.0,15.0,5.0,69.0,4.0,2.0,2.0,181.0,2.0,5.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,10.7715512,106.6983801, Vietnam,asia
Tirana,109,3.6,3.0,3.0,1224.0,12.0,2.0,92.0,4.0,2.0,3.0,338.0,2.0,5.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,41.3305141,19.82556285758297, Albania,europe
Kansas City MO,110,3.6,4.0,4.0,2621.0,56.0,4.0,36.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,39.100105,-94.5781416, United States,north_america
Puerto Vallarta,111,3.6,4.0,3.0,1725.0,24.0,3.0,36.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,5.0,2.0,3.0,5.0,2.0,20.6407176,-105.220306, Mexico,north_america
Victoria,112,3.6,4.0,4.0,3292.0,25.0,2.0,27.0,4.0,5.0,4.0,3513.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,-36.5986096,144.6780052, Australia,oceania
Tokyo,113,3.6,4.0,3.0,3001.0,29.0,5.0,41.0,5.0,2.0,4.0,3220.0,2.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,35.6828387,139.7594549, Japan,asia
